gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
B3gnt7,Q8K0J2,B3GN7_MOUSE,reviewed,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-)",B3gnt7,Mus musculus (Mouse),397
Atg16l1,Q8C0J2,A16L1_MOUSE,reviewed,Autophagy-related protein 16-1 (APG16-like 1),Atg16l1 Apg16l,Mus musculus (Mouse),607
Agap1,Q8BXK8,AGAP1_MOUSE,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2)",Agap1 Centg2 Kiaa1099,Mus musculus (Mouse),857
Ano7,Q14AT5,ANO7_MOUSE,reviewed,Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G),Ano7 Ngep Tmem16g,Mus musculus (Mouse),859
Zcchc2,Q69ZB8,ZCHC2_MOUSE,reviewed,Zinc finger CCHC domain-containing protein 2,Zcchc2 Kiaa1744,Mus musculus (Mouse),1166
Phlpp1,Q8CHE4,PHLP1_MOUSE,reviewed,PH domain leucine-rich repeat-containing protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein),Phlpp1 Kiaa0606 Phlpp Plekhe1 Scop,Mus musculus (Mouse),1687
Tfcp2l1,Q3UNW5,TF2L1_MOUSE,reviewed,Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1),Tfcp2l1 Crtr1 Tcfcp2l1,Mus musculus (Mouse),479
Rab3gap1,Q80UJ7,RB3GP_MOUSE,reviewed,Rab3 GTPase-activating protein catalytic subunit (RAB3 GTPase-activating protein 130 kDa subunit) (Rab3-GAP p130) (Rab3-GAP),Rab3gap1 Kiaa0066 Rab3gap,Mus musculus (Mouse),981
Ubxn4,Q8VCH8,UBXN4_MOUSE,reviewed,UBX domain-containing protein 4 (Erasin) (UBX domain-containing protein 2),Ubxn4 Ubxd2 Ubxdc1,Mus musculus (Mouse),506
Pigr,O70570,PIGR_MOUSE,reviewed,Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component],Pigr,Mus musculus (Mouse),771
Eif2d,Q61211,EIF2D_MOUSE,reviewed,Eukaryotic translation initiation factor 2D (eIF2D) (Ligatin),Eif2d Lgtn,Mus musculus (Mouse),570
Elk4,P41158,ELK4_MOUSE,reviewed,ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1),Elk4 Sap1,Mus musculus (Mouse),430
Nuak2,Q8BZN4,NUAK2_MOUSE,reviewed,NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2),Nuak2 Omphk2,Mus musculus (Mouse),639
Ppp1r15b,Q8BFW3,PR15B_MOUSE,reviewed,Protein phosphatase 1 regulatory subunit 15B (Constitutive repressor of eIF2alpha phosphorylation) (CReP),Ppp1r15b,Mus musculus (Mouse),697
Plekha6,Q7TQG1,PKHA6_MOUSE,reviewed,Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3),Plekha6 Pepp3,Mus musculus (Mouse),1173
Adipor1,Q91VH1,PAQR1_MOUSE,reviewed,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Adipor1 Parq1,Mus musculus (Mouse),375
Rabif,Q91X96,MSS4_MOUSE,reviewed,Guanine nucleotide exchange factor MSS4 (Rab-interacting factor),Rabif,Mus musculus (Mouse),123
Lad1,P57016,LAD1_MOUSE,reviewed,Ladinin-1 (Lad-1) (Linear IgA disease antigen homolog) (LADA),Lad1,Mus musculus (Mouse),528
Kif21b,Q9QXL1,KI21B_MOUSE,reviewed,Kinesin-like protein KIF21B (Kinesin-like protein KIF6),Kif21b Kif6,Mus musculus (Mouse),1668
Dennd1b,Q3U1T9,DEN1B_MOUSE,reviewed,DENN domain-containing protein 1B (Connecdenn 2),Dennd1b,Mus musculus (Mouse),766
Ivns1abp,Q920Q8,NS1BP_MOUSE,reviewed,Influenza virus NS1A-binding protein homolog (NS1-BP) (NS1-binding protein homolog) (Kelch family protein Nd1-L) (ND1-L2) (Nd1-S),Ivns1abp Kiaa0850 Nd1 Nd1L Nd1S Ns1 Ns1bp,Mus musculus (Mouse),642
Arpc5,Q9CPW4,ARPC5_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC),Arpc5,Mus musculus (Mouse),151
Rnasel,Q05921,RN5A_MOUSE,reviewed,2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L),Rnasel Rns4,Mus musculus (Mouse),735
Glul,P15105,GLNA_MOUSE,reviewed,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),Glul Glns,Mus musculus (Mouse),373
Tor1aip2,Q8BYU6,TOIP2_MOUSE,reviewed,Torsin-1A-interacting protein 2,Tor1aip2 Ifrg15 Lull1,Mus musculus (Mouse),502
Tor1aip2,Q9ER81,IFG15_MOUSE,reviewed,"Torsin-1A-interacting protein 2, isoform IFRG15 (15 kDa interferon-responsive protein) (IFRG15)",Tor1aip2 Ifrg15,Mus musculus (Mouse),131
Slc19a2,Q9EQN9,S19A2_MOUSE,reviewed,Thiamine transporter 1 (ThTr-1) (Solute carrier family 19 member 2),Slc19a2,Mus musculus (Mouse),498
Gpa33,Q9JKA5,GPA33_MOUSE,reviewed,Cell surface A33 antigen (Glycoprotein A33) (mA33),Gpa33,Mus musculus (Mouse),319
Usf1,Q61069,USF1_MOUSE,reviewed,Upstream stimulatory factor 1 (Major late transcription factor 1),Usf1 Usf,Mus musculus (Mouse),310
F11r,O88792,JAM1_MOUSE,reviewed,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
Igsf9,Q05BQ1,TUTLA_MOUSE,reviewed,Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A),Igsf9 Dasm1 Igsf9a Nrt1,Mus musculus (Mouse),1179
Aim2,Q91VJ1,AIM2_MOUSE,reviewed,Interferon-inducible protein AIM2 (Interferon-inducible protein 210) (Ifi-210) (Interferon-inducible protein p210),Aim2 Gm1313 Ifi210,Mus musculus (Mouse),354
Parp1,P11103,PARP1_MOUSE,reviewed,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (msPARP) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-),Parp1 Adprp Adprt Adprt1,Mus musculus (Mouse),1013
Tlr5,Q9JLF7,TLR5_MOUSE,reviewed,Toll-like receptor 5,Tlr5,Mus musculus (Mouse),859
Tmem206,Q9D771,PACC1_MOUSE,reviewed,Proton-activated chloride channel (PAC) (Transmembrane protein 206),Pacc1 Tmem206,Mus musculus (Mouse),350
Mrpl15,Q9CPR5,RM15_MOUSE,reviewed,"39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15)",Mrpl15,Mus musculus (Mouse),295
Ncoa2,Q61026,NCOA2_MOUSE,reviewed,Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2),Ncoa2 Grip1 Src2 Tif2,Mus musculus (Mouse),1462
Tram2,Q924Z5,TRAM2_MOUSE,reviewed,Translocating chain-associated membrane protein 2,Tram2,Mus musculus (Mouse),370
Smap1,Q91VZ6,SMAP1_MOUSE,reviewed,Stromal membrane-associated protein 1,Smap1,Mus musculus (Mouse),440
Smap1,Q99KD5,UN45A_MOUSE,reviewed,Protein unc-45 homolog A (Unc-45A) (Stromal membrane-associated protein 1) (SMAP-1),Unc45a Smap1,Mus musculus (Mouse),944
Ptp4a1,Q63739,TP4A1_MOUSE,reviewed,Protein tyrosine phosphatase type IVA 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a1) (Protein-tyrosine phosphatase of regenerating liver 1) (PRL-1),Ptp4a1 Prl1,Mus musculus (Mouse),173
Fam168b,Q80XQ8,F168B_MOUSE,reviewed,Myelin-associated neurite-outgrowth inhibitor (Mani),Fam168b Kiaa4042,Mus musculus (Mouse),194
Uggt1,Q6P5E4,UGGG1_MOUSE,reviewed,UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1),Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr,Mus musculus (Mouse),1551
Lman2l,P59481,LMA2L_MOUSE,reviewed,VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein),Lman2l Vipl,Mus musculus (Mouse),347
Sema4c,Q64151,SEM4C_MOUSE,reviewed,Semaphorin-4C (M-Sema F) (Semaphorin-C-like 1) (Sema I) (Semaphorin I),Sema4c S4c Semacl1 Semai,Mus musculus (Mouse),834
Tmem131,O70472,TM131_MOUSE,reviewed,Transmembrane protein 131 (Protein RW1),Tmem131 D1Bwg0491e Kiaa0257 Rw1,Mus musculus (Mouse),1877
Mgat4a,Q812G0,MGT4A_MOUSE,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]",Mgat4a,Mus musculus (Mouse),535
Tgfbrap1,Q3UR70,TGFA1_MOUSE,reviewed,Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1),Tgfbrap1,Mus musculus (Mouse),860
Fhl2,O70433,FHL2_MOUSE,reviewed,Four and a half LIM domains protein 2 (FHL-2) (Skeletal muscle LIM-protein 3) (SLIM-3),Fhl2,Mus musculus (Mouse),279
Slc40a1,Q9JHI9,S40A1_MOUSE,reviewed,Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1) (Metal transporter protein 1) (MTP1),Slc40a1 Fpn1 Ireg1 Slc11a3 Slc39a1,Mus musculus (Mouse),570
Nabp1,Q8BGW5,SOSB2_MOUSE,reviewed,SOSS complex subunit B2 (Nucleic acid-binding protein 1) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2A) (Sensor of single-strand DNA complex subunit B2) (Sensor of ssDNA subunit B2) (SOSS-B2) (Single-stranded DNA-binding protein 2),Nabp1 Obfc2a Ssb2,Mus musculus (Mouse),198
Nab1,Q61122,NAB1_MOUSE,reviewed,NGFI-A-binding protein 1 (EGR-1-binding protein 1),Nab1,Mus musculus (Mouse),486
Stk17b,Q8BG48,ST17B_MOUSE,reviewed,Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2),Stk17b Drak2,Mus musculus (Mouse),372
Satb2,Q8VI24,SATB2_MOUSE,reviewed,DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2),Satb2 Kiaa1034,Mus musculus (Mouse),733
Fzd5,Q9EQD0,FZD5_MOUSE,reviewed,Frizzled-5 (Fz-5) (mFz5),Fzd5,Mus musculus (Mouse),585
Idh1,O88844,IDHC_MOUSE,reviewed,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),Idh1,Mus musculus (Mouse),414
Tmbim1,Q8BJZ3,LFG3_MOUSE,reviewed,Protein lifeguard 3 (Responsive to centrifugal force and shear stress gene 1 protein) (Protein RECS1) (Transmembrane BAX inhibitor motif-containing protein 1),Tmbim1 Lfg3 Recs1,Mus musculus (Mouse),309
Ihh,P97812,IHH_MOUSE,reviewed,Indian hedgehog protein (IHH) (HHG-2) [Cleaved into: Indian hedgehog protein N-product; Indian hedgehog protein C-product],Ihh,Mus musculus (Mouse),411
Cnppd1,Q8K158,CNPD1_MOUSE,reviewed,Protein CNPPD1,Cnppd1,Mus musculus (Mouse),407
Tm4sf20,Q9CQY8,T4S20_MOUSE,reviewed,Transmembrane 4 L6 family member 20,Tm4sf20,Mus musculus (Mouse),226
Trip12,G5E870,TRIPC_MOUSE,reviewed,E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12),Trip12,Mus musculus (Mouse),2025
Per2,O54943,PER2_MOUSE,reviewed,Period circadian protein homolog 2 (mPER2) (Circadian clock protein PERIOD 2),Per2,Mus musculus (Mouse),1257
Hdlbp,Q8VDJ3,VIGLN_MOUSE,reviewed,Vigilin (High density lipoprotein-binding protein) (HDL-binding protein),Hdlbp,Mus musculus (Mouse),1268
Stk25,Q9Z2W1,STK25_MOUSE,reviewed,Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1),Stk25 Sok1,Mus musculus (Mouse),426
Vps4b,P46467,VPS4B_MOUSE,reviewed,Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Suppressor of K(+) transport growth defect 1) (Protein SKD1),Vps4b Skd1,Mus musculus (Mouse),444
Insig2,Q91WG1,INSI2_MOUSE,reviewed,Insulin-induced gene 2 protein (INSIG-2),Insig2,Mus musculus (Mouse),225
Actr3,Q99JY9,ARP3_MOUSE,reviewed,Actin-related protein 3 (Actin-like protein 3),Actr3 Arp3,Mus musculus (Mouse),418
Pfkfb2,P70265,F262_MOUSE,reviewed,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",Pfkfb2,Mus musculus (Mouse),519
Mfsd4,Q6PDC8,MFD4A_MOUSE,reviewed,Major facilitator superfamily domain-containing protein 4A (Major facilitator superfamily domain-containing protein 4),Mfsd4a Mfsd4,Mus musculus (Mouse),510
Cdk18,Q04899,CDK18_MOUSE,reviewed,Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3),Cdk18 Pctaire3 Pctk3,Mus musculus (Mouse),451
Mdm4,O35618,MDM4_MOUSE,reviewed,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),Mdm4 Mdmx,Mus musculus (Mouse),489
Btg2,Q04211,BTG2_MOUSE,reviewed,Protein BTG2 (BTG family member 2) (NGF-inducible protein TIS21),Btg2 Tis21,Mus musculus (Mouse),158
Elf3,Q3UPW2,ELF3_MOUSE,reviewed,ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1),Elf3 Ert Esx Jen,Mus musculus (Mouse),391
Nek7,Q9ES74,NEK7_MOUSE,reviewed,Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7),Nek7,Mus musculus (Mouse),302
Rgs2,O08849,RGS2_MOUSE,reviewed,Regulator of G-protein signaling 2 (RGS2),Rgs2,Mus musculus (Mouse),211
Dhx9,O70133,DHX9_MOUSE,reviewed,ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA),Dhx9 Ddx9,Mus musculus (Mouse),1380
Cep350,E9Q309,CE350_MOUSE,reviewed,Centrosome-associated protein 350 (Cep350),Cep350 Kiaa0480,Mus musculus (Mouse),3095
Tor1aip1,Q921T2,TOIP1_MOUSE,reviewed,Torsin-1A-interacting protein 1 (Lamina-associated polypeptide 1B) (LAP1B),Tor1aip1,Mus musculus (Mouse),595
Prdx6,O08709,PRDX6_MOUSE,reviewed,Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Non-selenium glutathione peroxidase) (NSGPx),Prdx6 Aop2 Ltw4 Prdx5,Mus musculus (Mouse),224
Prdx6,P99029,PRDX5_MOUSE,reviewed,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 2D-0014IV) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (Thioredoxin peroxidase PMP20)",Prdx5 Prdx6,Mus musculus (Mouse),210
Atp1b1,P14094,AT1B1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),Atp1b1 Atp4b,Mus musculus (Mouse),304
Sft2d2,Q8VD57,SFT2B_MOUSE,reviewed,Vesicle transport protein SFT2B (SFT2 domain-containing protein 2),Sft2d2,Mus musculus (Mouse),159
Mgst3,Q9CPU4,MGST3_MOUSE,reviewed,Microsomal glutathione S-transferase 3 (Microsomal GST-3) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (Microsomal glutathione S-transferase III) (Microsomal GST-III),Mgst3,Mus musculus (Mouse),153
Sdhc,Q9CZB0,C560_MOUSE,reviewed,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1)",Sdhc,Mus musculus (Mouse),169
Ncstn,P57716,NICA_MOUSE,reviewed,Nicastrin,Ncstn,Mus musculus (Mouse),708
Fh1,P97807,FUMH_MOUSE,reviewed,"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2) (EF-3)",Fh Fh1,Mus musculus (Mouse),507
Capn2,O08529,CAN2_MOUSE,reviewed,Calpain-2 catalytic subunit (EC 3.4.22.53) (80 kDa M-calpain subunit) (CALP80) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain),Capn2,Mus musculus (Mouse),700
Kctd3,Q8BFX3,KCTD3_MOUSE,reviewed,BTB/POZ domain-containing protein KCTD3,Kctd3,Mus musculus (Mouse),815
Atf3,Q60765,ATF3_MOUSE,reviewed,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3) (Transcription factor LRG-21),Atf3,Mus musculus (Mouse),181
Armt1,A6H630,ARMT1_MOUSE,reviewed,Damage-control phosphatase ARMT1 (EC 3.1.3.-) (Acidic residue methyltransferase 1) (Protein-glutamate O-methyltransferase) (EC 2.1.1.-) (Sugar phosphate phosphatase ARMT1),Armt1,Mus musculus (Mouse),439
Hivep2,Q3UHF7,ZEP2_MOUSE,reviewed,Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2 homolog) (Myc intron-binding protein 1) (MIBP-1),Hivep2 Mibp1,Mus musculus (Mouse),2430
Cited2,O35740,CITE2_MOUSE,reviewed,Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj),Cited2 Mrg1 Msg2,Mus musculus (Mouse),269
Perp,Q9JK95,PERP_MOUSE,reviewed,p53 apoptosis effector related to PMP-22 (Keratinocyte-associated protein 1) (KCP-1),Perp Krtcap1,Mus musculus (Mouse),193
Ifngr1,P15261,INGR1_MOUSE,reviewed,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),Ifngr1 Ifngr,Mus musculus (Mouse),477
Map3k5,O35099,M3K5_MOUSE,reviewed,Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5),Map3k5 Ask1 Mekk5,Mus musculus (Mouse),1380
Sgk1,Q9WVC6,SGK1_MOUSE,reviewed,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),Sgk1 Sgk,Mus musculus (Mouse),431
Stx7,O70439,STX7_MOUSE,reviewed,Syntaxin-7,Stx7 Syn7,Mus musculus (Mouse),261
Cd164,Q9R0L9,MUC24_MOUSE,reviewed,Sialomucin core protein 24 (MUC-24) (Endolyn) (Multi-glycosylated core protein 24) (MGC-24) (MGC-24v) (CD antigen CD164),Cd164,Mus musculus (Mouse),197
Ostm1,Q8BGT0,OSTM1_MOUSE,reviewed,Osteopetrosis-associated transmembrane protein 1 (Chloride channel 7 beta subunit) (Grey-lethal protein),Ostm1 Gl,Mus musculus (Mouse),338
Scml4,Q80VG1,SCML4_MOUSE,reviewed,Sex comb on midleg-like protein 4,Scml4,Mus musculus (Mouse),408
Pdss2,Q33DR3,DLP1_MOUSE,reviewed,Decaprenyl-diphosphate synthase subunit 2 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 2) (Decaprenyl pyrophosphate synthase subunit 2) (Solanesyl-diphosphate synthase subunit 2),Pdss2 Dlp1,Mus musculus (Mouse),401
Dcbld1,Q9D4J3,DCBD1_MOUSE,reviewed,"Discoidin, CUB and LCCL domain-containing protein 1",Dcbld1,Mus musculus (Mouse),503
Smpdl3a,P70158,ASM3A_MOUSE,reviewed,Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-),Smpdl3a Asml3a,Mus musculus (Mouse),445
Gcc2,Q8CHG3,GCC2_MOUSE,reviewed,GRIP and coiled-coil domain-containing protein 2 (185 kDa Golgi coiled-coil protein) (GCC185),Gcc2 Kiaa0336,Mus musculus (Mouse),1679
Ranbp2,Q9ERU9,RBP2_MOUSE,reviewed,E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (Ran-binding protein 2) (RanBP2),Ranbp2,Mus musculus (Mouse),3053
Micu1,Q8VCX5,MICU1_MOUSE,reviewed,"Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)",Micu1 Cbara1,Mus musculus (Mouse),477
Psap,Q61207,SAP_MOUSE,reviewed,Prosaposin (Sulfated glycoprotein 1) (SGP-1) [Cleaved into: Saposin-A; Saposin-B-Val; Saposin-B; Saposin-C; Saposin-D],Psap Sgp1,Mus musculus (Mouse),557
